t,feature_0,feature_1,feature_2,feature_3,event_indicator,time_to_event,run_id,split,seed
0,3.5934067,100.0,0.0,10000.0,1,41,ant_colony_seed_0,train,0
1,3.5934067,97.5,0.0,9750.0,1,40,ant_colony_seed_0,train,0
2,3.590909,95.0,0.0,9500.0,1,39,ant_colony_seed_0,train,0
3,3.5952382,92.5,0.0,9250.0,1,38,ant_colony_seed_0,train,0
4,3.6236558,90.0,0.0,9000.0,1,37,ant_colony_seed_0,train,0
5,3.6111112,87.5,0.0,8750.0,1,36,ant_colony_seed_0,train,0
6,3.6046512,85.0,0.0,8500.0,1,35,ant_colony_seed_0,train,0
7,3.6385543,82.5,0.0,8250.0,1,34,ant_colony_seed_0,train,0
8,3.6206896,80.0,0.0,8000.0,1,33,ant_colony_seed_0,train,0
9,3.597701,77.5,0.0,7750.0,1,32,ant_colony_seed_0,train,0
10,3.609756,75.0,0.0,7500.0,1,31,ant_colony_seed_0,train,0
11,3.6144578,72.5,0.0,7250.0,1,30,ant_colony_seed_0,train,0
12,3.6024096,70.0,0.0,7000.0,1,29,ant_colony_seed_0,train,0
13,3.6144578,67.5,0.0,6750.0,1,28,ant_colony_seed_0,train,0
14,3.6506023,65.0,0.0,6500.0,1,27,ant_colony_seed_0,train,0
15,3.621951,62.5,0.0,6250.0,1,26,ant_colony_seed_0,train,0
16,3.625,60.0,0.0,6000.0,1,25,ant_colony_seed_0,train,0
17,3.6206896,57.6,0.04,5760.0,1,24,ant_colony_seed_0,train,0
18,3.6404495,55.29,0.095,5529.0,1,23,ant_colony_seed_0,train,0
19,3.6404495,53.1,0.115,5310.0,1,22,ant_colony_seed_0,train,0
20,3.6511629,51.01,0.16,5101.0,1,21,ant_colony_seed_0,train,0
21,3.6585367,48.99,0.175,4899.0,1,20,ant_colony_seed_0,train,0
22,3.6626506,47.08,0.215,4708.0,1,19,ant_colony_seed_0,train,0
23,3.6419754,45.33,0.24,4533.0,1,18,ant_colony_seed_0,train,0
24,3.6309524,43.555,0.25,4355.5,1,17,ant_colony_seed_0,train,0
25,3.6296296,41.825,0.25,4182.5,1,16,ant_colony_seed_0,train,0
26,3.6506023,39.895,0.21,3989.5,1,15,ant_colony_seed_0,train,0
27,3.6352942,38.135,0.28,3813.5,1,14,ant_colony_seed_0,train,0
28,3.5882354,36.755,0.38,3675.5,1,13,ant_colony_seed_0,train,0
29,3.6046512,35.195,0.325,3519.5,1,12,ant_colony_seed_0,train,0
30,3.627907,33.625,0.33,3362.5,1,11,ant_colony_seed_0,train,0
31,3.6162791,31.99,0.33,3199.0,1,10,ant_colony_seed_0,train,0
32,3.6309524,30.61,0.415,3061.0,1,9,ant_colony_seed_0,train,0
33,3.586207,29.44,0.45,2944.0,1,8,ant_colony_seed_0,train,0
34,3.6111112,28.33,0.505,2833.0,1,7,ant_colony_seed_0,train,0
35,3.6,27.335,0.505,2733.5,1,6,ant_colony_seed_0,train,0
36,3.5833333,26.31,0.525,2631.0,1,5,ant_colony_seed_0,train,0
37,3.617284,25.465,0.585,2546.5,1,4,ant_colony_seed_0,train,0
38,3.626506,24.615,0.57,2461.5,1,3,ant_colony_seed_0,train,0
39,3.6162791,23.68,0.56,2368.0,1,2,ant_colony_seed_0,train,0
40,3.6352942,22.85,0.595,2285.0,1,1,ant_colony_seed_0,train,0
41,3.621951,22.125,0.63,2212.5,1,0,ant_colony_seed_0,train,0
0,3.5777779,100.0,0.0,10000.0,1,39,ant_colony_seed_1,train,1
1,3.5882354,97.5,0.0,9750.0,1,38,ant_colony_seed_1,train,1
2,3.6091955,95.0,0.0,9500.0,1,37,ant_colony_seed_1,train,1
3,3.6333334,92.5,0.0,9250.0,1,36,ant_colony_seed_1,train,1
4,3.6555555,90.0,0.0,9000.0,1,35,ant_colony_seed_1,train,1
5,3.6477273,87.5,0.0,8750.0,1,34,ant_colony_seed_1,train,1
6,3.6222222,85.0,0.0,8500.0,1,33,ant_colony_seed_1,train,1
7,3.590909,82.5,0.0,8250.0,1,32,ant_colony_seed_1,train,1
8,3.6136363,80.0,0.0,8000.0,1,31,ant_colony_seed_1,train,1
9,3.590909,77.5,0.0,7750.0,1,30,ant_colony_seed_1,train,1
10,3.597701,75.0,0.0,7500.0,1,29,ant_colony_seed_1,train,1
11,3.6144578,72.5,0.0,7250.0,1,28,ant_colony_seed_1,train,1
12,3.5925925,70.0,0.0,7000.0,1,27,ant_colony_seed_1,train,1
13,3.6404495,67.5,0.0,6750.0,1,26,ant_colony_seed_1,train,1
14,3.6555555,65.0,0.0,6500.0,1,25,ant_colony_seed_1,train,1
