t,feature_0,feature_1,feature_2,feature_3,event_indicator,time_to_event
0,3.5795455,100.0,0.0,10000.0,1,41
1,3.6049383,97.5,0.0,9750.0,1,40
2,3.6117647,95.0,0.0,9500.0,1,39
3,3.6,92.5,0.0,9250.0,1,38
4,3.6046512,90.0,0.0,9000.0,1,37
5,3.6179776,87.5,0.0,8750.0,1,36
6,3.6117647,85.0,0.0,8500.0,1,35
7,3.6144578,82.5,0.0,8250.0,1,34
8,3.6195652,80.0,0.0,8000.0,1,33
9,3.6153846,77.5,0.0,7750.0,1,32
10,3.6046512,75.0,0.0,7500.0,1,31
11,3.5955057,72.5,0.0,7250.0,1,30
12,3.6111112,70.0,0.0,7000.0,1,29
13,3.590909,67.5,0.0,6750.0,1,28
14,3.5714285,65.0,0.0,6500.0,1,27
15,3.5833333,62.53,0.02,6253.0,1,26
16,3.6206896,60.18,0.1,6018.0,1,25
17,3.6091955,57.94,0.08,5794.0,1,24
18,3.627907,55.625,0.09,5562.5,1,23
19,3.6235294,53.36,0.1,5336.0,1,22
20,3.6666667,51.225,0.12,5122.5,1,21
21,3.6144578,49.26,0.2,4926.0,1,20
22,3.621951,47.31,0.175,4731.0,1,19
23,3.6309524,45.3,0.185,4530.0,1,18
24,3.6547618,43.485,0.235,4348.5,1,17
25,3.6585367,41.835,0.29,4183.5,1,16
26,3.6067417,40.175,0.285,4017.5,1,15
27,3.6022727,38.62,0.34,3862.0,1,14
28,3.6506023,37.315,0.395,3731.5,1,13
29,3.6292136,35.96,0.375,3596.0,1,12
30,3.6588235,34.43,0.385,3443.0,1,11
31,3.6555555,33.09,0.415,3309.0,1,10
32,3.6363637,31.8,0.415,3180.0,1,9
33,3.6483517,30.67,0.505,3067.0,1,8
34,3.6511629,29.57,0.49,2957.0,1,7
35,3.6341465,28.565,0.52,2856.5,1,6
36,3.5833333,27.505,0.5,2750.5,1,5
37,3.6206896,26.585,0.535,2658.5,1,4
38,3.6136363,25.555,0.53,2555.5,1,3
39,3.597701,24.415,0.52,2441.5,1,2
40,3.6022727,23.385,0.56,2338.5,1,1
41,3.590909,22.59,0.6,2259.0,1,0
