t,feature_0,feature_1,feature_2,feature_3,feature_4,event_indicator,time_to_event,run_id,split,seed
0,0.004,0.0,0.996,25.048,2.0,1,15,sir_graph_seed_0,train,0
1,0.008,0.0,0.992,25.048,1.0,1,14,sir_graph_seed_0,train,0
2,0.012,0.0,0.988,25.048,1.0,1,13,sir_graph_seed_0,train,0
3,0.014,0.002,0.984,25.048,1.0,1,12,sir_graph_seed_0,train,0
4,0.02,0.002,0.978,25.048,1.0,1,11,sir_graph_seed_0,train,0
5,0.028,0.002,0.97,25.048,1.0,1,10,sir_graph_seed_0,train,0
6,0.046,0.002,0.952,25.048,1.0,1,9,sir_graph_seed_0,train,0
7,0.068,0.004,0.928,25.048,1.0,1,8,sir_graph_seed_0,train,0
8,0.102,0.004,0.894,25.048,1.0,1,7,sir_graph_seed_0,train,0
9,0.146,0.004,0.85,25.048,1.0,1,6,sir_graph_seed_0,train,0
10,0.194,0.004,0.802,25.048,1.0,1,5,sir_graph_seed_0,train,0
11,0.26,0.004,0.736,25.048,1.0,1,4,sir_graph_seed_0,train,0
12,0.316,0.008,0.676,25.048,1.0,1,3,sir_graph_seed_0,train,0
13,0.422,0.012,0.566,25.048,1.0,1,2,sir_graph_seed_0,train,0
14,0.524,0.012,0.464,25.048,1.0,1,1,sir_graph_seed_0,train,0
15,0.624,0.02,0.356,25.048,1.0,1,0,sir_graph_seed_0,train,0
0,0.004,0.0,0.996,24.808,2.0,1,17,sir_graph_seed_1,train,1
1,0.004,0.0,0.996,24.808,2.0,1,16,sir_graph_seed_1,train,1
2,0.008,0.0,0.992,24.808,2.0,1,15,sir_graph_seed_1,train,1
3,0.012,0.0,0.988,24.808,1.0,1,14,sir_graph_seed_1,train,1
4,0.016,0.0,0.984,24.808,1.0,1,13,sir_graph_seed_1,train,1
5,0.02,0.0,0.98,24.808,1.0,1,12,sir_graph_seed_1,train,1
6,0.03,0.0,0.97,24.808,1.0,1,11,sir_graph_seed_1,train,1
7,0.04,0.0,0.96,24.808,1.0,1,10,sir_graph_seed_1,train,1
