run_id,seed,label_horizon_20
sir_graph_seed_0,0,1
sir_graph_seed_1,1,1
sir_graph_seed_2,2,1
sir_graph_seed_3,3,1
sir_graph_seed_4,4,1
sir_graph_seed_5,5,1
sir_graph_seed_6,6,1
sir_graph_seed_7,7,1
sir_graph_seed_8,8,1
sir_graph_seed_9,9,1
sir_graph_seed_10,10,1
sir_graph_seed_11,11,1
sir_graph_seed_12,12,1
sir_graph_seed_13,13,1
sir_graph_seed_14,14,1
sir_graph_seed_15,15,1
sir_graph_seed_16,16,1
sir_graph_seed_17,17,1
sir_graph_seed_18,18,1
sir_graph_seed_19,19,1
sir_graph_seed_20,20,1
sir_graph_seed_21,21,1
sir_graph_seed_22,22,1
sir_graph_seed_23,23,1
sir_graph_seed_24,24,1
sir_graph_seed_25,25,1
sir_graph_seed_26,26,1
sir_graph_seed_27,27,1
sir_graph_seed_28,28,1
sir_graph_seed_29,29,1
sir_graph_seed_30,30,1
sir_graph_seed_31,31,1
sir_graph_seed_32,32,1
sir_graph_seed_33,33,1
sir_graph_seed_34,34,1
sir_graph_seed_35,35,1
sir_graph_seed_36,36,1
sir_graph_seed_37,37,1
sir_graph_seed_38,38,1
sir_graph_seed_39,39,1
sir_graph_seed_40,40,1
sir_graph_seed_41,41,0
sir_graph_seed_42,42,1
sir_graph_seed_43,43,1
sir_graph_seed_44,44,1
sir_graph_seed_45,45,1
sir_graph_seed_46,46,1
sir_graph_seed_47,47,1
sir_graph_seed_48,48,1
sir_graph_seed_49,49,1
