run_id,seed,T_event,collapsed,n_timesteps
sir_graph_seed_0,0,15,True,16
sir_graph_seed_1,1,17,True,18
sir_graph_seed_2,2,15,True,16
sir_graph_seed_3,3,14,True,15
sir_graph_seed_4,4,17,True,18
sir_graph_seed_5,5,12,True,13
sir_graph_seed_6,6,17,True,18
sir_graph_seed_7,7,16,True,17
sir_graph_seed_8,8,15,True,16
sir_graph_seed_9,9,17,True,18
sir_graph_seed_10,10,16,True,17
sir_graph_seed_11,11,16,True,17
sir_graph_seed_12,12,16,True,17
sir_graph_seed_13,13,15,True,16
sir_graph_seed_14,14,15,True,16
sir_graph_seed_15,15,15,True,16
sir_graph_seed_16,16,16,True,17
sir_graph_seed_17,17,14,True,15
sir_graph_seed_18,18,14,True,15
sir_graph_seed_19,19,16,True,17
sir_graph_seed_20,20,16,True,17
sir_graph_seed_21,21,12,True,13
sir_graph_seed_22,22,20,True,21
sir_graph_seed_23,23,16,True,17
sir_graph_seed_24,24,19,True,20
sir_graph_seed_25,25,17,True,18
sir_graph_seed_26,26,17,True,18
sir_graph_seed_27,27,14,True,15
sir_graph_seed_28,28,17,True,18
sir_graph_seed_29,29,19,True,20
sir_graph_seed_30,30,17,True,18
sir_graph_seed_31,31,14,True,15
sir_graph_seed_32,32,16,True,17
sir_graph_seed_33,33,14,True,15
sir_graph_seed_34,34,13,True,14
sir_graph_seed_35,35,14,True,15
sir_graph_seed_36,36,16,True,17
sir_graph_seed_37,37,16,True,17
sir_graph_seed_38,38,16,True,17
sir_graph_seed_39,39,15,True,16
sir_graph_seed_40,40,17,True,18
sir_graph_seed_41,41,21,True,22
sir_graph_seed_42,42,17,True,18
sir_graph_seed_43,43,14,True,15
sir_graph_seed_44,44,16,True,17
sir_graph_seed_45,45,16,True,17
sir_graph_seed_46,46,16,True,17
sir_graph_seed_47,47,17,True,18
sir_graph_seed_48,48,18,True,19
sir_graph_seed_49,49,16,True,17
