t,feature_0,feature_1,feature_2,feature_3,feature_4,event_indicator,time_to_event
0,0.004,0.0,0.996,24.936,2.0,1,17
1,0.004,0.0,0.996,24.936,2.0,1,16
2,0.004,0.0,0.996,24.936,2.0,1,15
3,0.004,0.0,0.996,24.936,2.0,1,14
4,0.004,0.0,0.996,24.936,2.0,1,13
5,0.008,0.0,0.992,24.936,2.0,1,12
6,0.012,0.0,0.988,24.936,1.0,1,11
7,0.016,0.0,0.984,24.936,1.0,1,10
8,0.034,0.0,0.966,24.936,1.0,1,9
9,0.046,0.0,0.954,24.936,1.0,1,8
10,0.07,0.0,0.93,24.936,1.0,1,7
11,0.108,0.0,0.892,24.936,1.0,1,6
12,0.142,0.0,0.858,24.936,1.0,1,5
13,0.2,0.0,0.8,24.936,1.0,1,4
14,0.288,0.0,0.712,24.936,1.0,1,3
15,0.404,0.002,0.594,24.936,1.0,1,2
16,0.514,0.006,0.48,24.936,1.0,1,1
17,0.61,0.01,0.38,24.936,1.0,1,0
