Step 0: total_res=10000.0, starving=0.000
Step 1: total_res=9750.0, starving=0.000
Step 2: total_res=9500.0, starving=0.000
Step 3: total_res=9250.0, starving=0.000
Step 4: total_res=9000.0, starving=0.000
Step 5: total_res=8750.0, starving=0.000
Step 6: total_res=8500.0, starving=0.000
Step 7: total_res=8250.0, starving=0.000
Step 8: total_res=8000.0, starving=0.000
Step 9: total_res=7750.0, starving=0.000
Step 10: total_res=7500.0, starving=0.000
Step 11: total_res=7250.0, starving=0.000
Step 12: total_res=7000.0, starving=0.000
Step 13: total_res=6750.0, starving=0.000
Step 14: total_res=6500.0, starving=0.000
Step 15: total_res=6250.0, starving=0.000
Step 16: total_res=6000.0, starving=0.000
Step 17: total_res=5760.0, starving=0.040
Step 18: total_res=5529.0, starving=0.095
Step 19: total_res=5310.0, starving=0.115
Step 20: total_res=5101.0, starving=0.160
Step 21: total_res=4899.0, starving=0.175
Step 22: total_res=4708.0, starving=0.215
Step 23: total_res=4533.0, starving=0.240
Step 24: total_res=4355.5, starving=0.250
Step 25: total_res=4182.5, starving=0.250
Step 26: total_res=3989.5, starving=0.210
Step 27: total_res=3813.5, starving=0.280
Step 28: total_res=3675.5, starving=0.380
Step 29: total_res=3519.5, starving=0.325
Step 30: total_res=3362.5, starving=0.330
Step 31: total_res=3199.0, starving=0.330
Step 32: total_res=3061.0, starving=0.415
Step 33: total_res=2944.0, starving=0.450
Step 34: total_res=2833.0, starving=0.505
Step 35: total_res=2733.5, starving=0.505
Step 36: total_res=2631.0, starving=0.525
Step 37: total_res=2546.5, starving=0.585
Step 38: total_res=2461.5, starving=0.570
Step 39: total_res=2368.0, starving=0.560
Step 40: total_res=2285.0, starving=0.595
COLLAPSED at step 41
