system,seed,sigma,rho_sw,rho_tau,monotonicity_frac,lead_time_norm,alert_time,bif_time,alert_threshold,baseline_mu,n_points
Saddle-Node,0,0.03,0.906903607813285,0.906903607813285,0.851063829787234,0.33,140.0,239.0,1.0,1.0,60
Saddle-Node,1,0.03,0.91196540696714,0.91196540696714,0.7872340425531915,0.33,140.0,239.0,1.0,1.0,60
Saddle-Node,2,0.03,0.9194910093261146,0.9194910093261146,0.7872340425531915,0.33,140.0,239.0,1.0,1.0,60
Saddle-Node,3,0.03,0.9190641837071537,0.9190641837071537,0.8297872340425532,0.33,140.0,239.0,1.0,1.0,60
Saddle-Node,4,0.03,0.9211112751117433,0.9211112751117433,0.7659574468085106,0.33,140.0,239.0,1.0,1.0,60
Saddle-Node,5,0.03,0.9117047206669535,0.9117047206669535,0.8085106382978723,0.33,140.0,239.0,1.0,1.0,60
Saddle-Node,6,0.03,0.9217202310336694,0.9217202310336694,0.7659574468085106,0.33,140.0,239.0,1.0,1.0,60
Saddle-Node,7,0.03,0.9128130699986516,0.9128130699986516,0.7872340425531915,0.33,140.0,239.0,1.0,1.0,60
Saddle-Node,8,0.03,0.9131557404031818,0.9131557404031818,0.7872340425531915,0.33,140.0,239.0,1.0,1.0,60
Saddle-Node,9,0.03,0.9117003696360956,0.9117003696360956,0.8297872340425532,0.33,140.0,239.0,1.0,1.0,60
Double-Well,0,0.03,0.35968160393540866,0.35968160393540866,0.5333333333333333,0.4475,125.0,304.0,0.20189124108112766,0.5666666666666667,80
Double-Well,1,0.03,0.9531919514923806,0.9531919514923806,0.5666666666666667,0.535,90.0,304.0,0.6233407081089929,0.8116666666666666,80
Double-Well,2,0.03,0.7803297879313291,0.7803297879313291,0.55,0.3975,145.0,304.0,0.8158286342844407,0.8712500000000001,80
Double-Well,3,0.03,0.8551854478924095,0.8551854478924095,0.55,0.5725,75.0,304.0,0.7821892065495576,0.8616666666666667,80
Double-Well,4,0.03,0.844854034766486,0.844854034766486,0.48333333333333334,0.3725,155.0,304.0,0.6271581070604958,0.8027083333333334,80
Double-Well,5,0.03,0.4011477281153013,0.4011477281153013,0.4666666666666667,0.51,100.0,304.0,0.5496928969045485,0.7597916666666666,80
Double-Well,6,0.03,0.3975830358607192,0.3975830358607192,0.55,0.11,260.0,304.0,0.48974577569786826,0.7125,80
Double-Well,7,0.03,0.5807964420970284,0.5807964420970284,0.5666666666666667,0.535,90.0,304.0,0.7951876541262733,0.8529166666666667,80
Double-Well,8,0.03,0.2846901964997736,0.2846901964997736,0.5,0.5725,75.0,304.0,0.7273666497944674,0.8179166666666666,80
Double-Well,9,0.03,0.9041769787158805,0.9041769787158805,0.6166666666666667,0.4475,125.0,304.0,0.6428994453934755,0.7991666666666666,80
Ecosystem,0,0.03,0.8957593532273543,0.8772182124349565,0.8860759493670886,0.36,235.0,379.0,1.0,1.0,80
Ecosystem,1,0.03,0.8717576467655488,0.8717576467655488,0.8860759493670886,0.375,250.0,400.0,1.0,1.0,80
Ecosystem,2,0.03,0.8570242036227793,0.8570242036227793,0.7848101265822784,0.4,240.0,400.0,1.0,1.0,80
Ecosystem,3,0.03,0.863685881017177,0.8520019768209403,0.9113924050632911,0.3375,255.0,390.0,1.0,1.0,80
Ecosystem,4,0.03,0.8719707384207923,0.8719707384207923,0.8860759493670886,0.375,250.0,400.0,1.0,1.0,80
Ecosystem,5,0.03,0.9013800469125479,0.9013800469125479,0.8607594936708861,0.4125,235.0,400.0,1.0,1.0,80
Ecosystem,6,0.03,0.8784681565701091,0.8784681565701091,0.8607594936708861,0.375,250.0,400.0,1.0,1.0,80
Ecosystem,7,0.03,0.89401403692013,0.8802700174676572,0.8607594936708861,0.3375,250.0,385.0,1.0,1.0,80
Ecosystem,8,0.03,0.891910554584875,0.891910554584875,0.810126582278481,0.4125,235.0,400.0,1.0,1.0,80
Ecosystem,9,0.03,0.8720245005673889,0.8720245005673889,0.8734177215189873,0.375,250.0,400.0,1.0,1.0,80
Saddle-Node,0,0.05,0.9068117874030013,0.9068117874030013,0.851063829787234,0.33,140.0,239.0,1.0,1.0,60
Saddle-Node,1,0.05,0.9119356555275948,0.9119356555275948,0.7872340425531915,0.33,140.0,239.0,1.0,1.0,60
Saddle-Node,2,0.05,0.9209064571899042,0.9209064571899042,0.7872340425531915,0.33,140.0,239.0,1.0,1.0,60
Saddle-Node,3,0.05,0.9188634158115311,0.9188634158115311,0.8297872340425532,0.33,140.0,239.0,1.0,1.0,60
Saddle-Node,4,0.05,0.9207672560646648,0.9207672560646648,0.7659574468085106,0.33,140.0,239.0,1.0,1.0,60
Saddle-Node,5,0.05,0.9190375771011139,0.9190375771011139,0.7872340425531915,0.33,140.0,239.0,1.0,1.0,60
